                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3138,                 8.2178,                 2.3155,                0.03579,                0.03774,                0.01167,                0.00287,                 2.4477,                 7.8199,                 2.0543,                 0.0001,                 0.0001,                 0.0001
                      1,                 2.8312,                 5.4516,                 2.0174,                0.20739,                0.20755,                0.12544,                0.03185,                 2.5526,                 17.837,                  1.935,             0.00021782,             0.00021782,             0.00021782
                      2,                 2.2395,                 2.8302,                 1.4364,                0.37883,                0.54087,                0.35714,                0.13138,                 1.8186,                 3.5846,                 1.5482,             0.00033327,             0.00033327,             0.00033327
                      3,                 1.9332,                 1.9737,                 1.3969,                0.54989,                0.56604,                0.54888,                0.26215,                  1.712,                 2.1693,                 1.4344,             0.00044634,             0.00044634,             0.00044634
                      4,                 1.8552,                  1.691,                 1.3323,                0.75413,                0.69811,                0.80604,                0.39126,                 1.6689,                 2.0085,                 1.4258,             0.00055703,             0.00055703,             0.00055703
                      5,                 1.9249,                 1.4714,                  1.332,                0.73369,                0.72782,                0.73004,                0.36416,                 1.6024,                 2.7346,                 1.3777,             0.00066535,             0.00066535,             0.00066535
                      6,                 1.8274,                 1.4245,                 1.2912,                0.76605,                0.64151,                0.67328,                0.29648,                 1.6878,                 2.5501,                 1.4122,             0.00077129,             0.00077129,             0.00077129
                      7,                 1.7402,                 1.3281,                 1.2752,                 0.7867,                0.71698,                0.73218,                0.34478,                 1.7665,                 1.7529,                 1.4752,             0.00087486,             0.00087486,             0.00087486
                      8,                 1.7637,                 1.1734,                 1.2915,                0.69761,                0.69811,                0.71994,                0.30759,                 1.8866,                 2.1019,                 1.5562,             0.00097605,             0.00097605,             0.00097605
                      9,                 1.7302,                 1.2154,                 1.2816,                0.86731,                0.61676,                0.76085,                0.35706,                 1.8626,                 1.5645,                 1.5517,              0.0010749,              0.0010749,              0.0010749
                     10,                 1.6657,                 1.2757,                 1.2068,                0.84857,                0.66038,                0.76381,                0.35385,                  1.901,                 2.0228,                 1.6081,              0.0011713,              0.0011713,              0.0011713
                     11,                 1.7962,                 1.2924,                 1.3105,                0.60971,                0.69811,                0.68128,                 0.2973,                  2.026,                 1.6553,                 1.6713,              0.0012654,              0.0012654,              0.0012654
                     12,                 1.7557,                 1.2139,                 1.3443,                0.64122,                0.69811,                0.67107,                0.31319,                 1.8032,                 2.1752,                 1.5447,               0.001357,               0.001357,               0.001357
                     13,                 1.6658,                 1.1044,                 1.2618,                0.80191,                0.49057,                 0.5808,                0.18077,                 2.4944,                 2.4588,                  2.028,              0.0014464,              0.0014464,              0.0014464
                     14,                 1.7682,                 1.0814,                  1.261,                0.73197,                0.50943,                0.57336,                0.21671,                   2.36,                 2.3486,                 1.8935,              0.0015333,              0.0015333,              0.0015333
                     15,                  1.713,                 1.0477,                   1.23,                0.56396,                0.60377,                0.54842,                0.21084,                 2.2538,                 2.4141,                 1.8405,              0.0016179,              0.0016179,              0.0016179
                     16,                 1.5412,                0.95028,                 1.1968,                0.60607,                0.73585,                0.62049,                0.27425,                  2.024,                 2.0346,                 1.6946,              0.0016832,              0.0016832,              0.0016832
                     17,                 1.5585,                 0.9919,                   1.29,                 0.7359,                0.69811,                0.69788,                0.32006,                  2.052,                 1.4347,                 1.8855,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.6743,                0.96679,                 1.2914,                0.81307,                0.71698,                0.76986,                 0.3483,                 1.8988,                 1.3865,                 1.7431,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.485,                0.90283,                 1.2002,                0.75154,                0.73585,                0.75658,                0.33582,                 1.9808,                 1.2762,                 1.6852,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.6915,                0.90503,                 1.2651,                0.79392,                0.72697,                0.77566,                0.33034,                 1.9432,                 1.2969,                 1.7026,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.4902,                0.94069,                 1.1687,                0.81206,                0.71698,                0.78723,                0.38759,                 1.7971,                 1.3706,                 1.5979,               0.001604,               0.001604,               0.001604
                     22,                 1.6201,                0.95552,                 1.2272,                 0.8155,                0.73585,                0.79156,                0.39116,                 1.8231,                 1.2463,                  1.596,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.5604,                0.92518,                 1.2187,                0.82775,                0.77358,                0.80615,                0.40266,                 1.8063,                 1.1826,                 1.5928,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.7009,                0.97685,                  1.334,                 0.8458,                0.69811,                0.80058,                0.34783,                 2.0739,                  1.122,                 1.8121,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.5368,                0.89025,                 1.1839,                0.59949,                0.81132,                 0.7891,                0.39797,                 1.7137,                 1.1501,                 1.5291,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.5069,                 0.8726,                  1.236,                0.66341,                0.75472,                 0.7857,                 0.3845,                 1.7384,                 1.1139,                  1.505,               0.001505,               0.001505,               0.001505
                     27,                 1.6779,                0.96164,                 1.2509,                0.73076,                0.81946,                0.83547,                0.40584,                  1.759,                 1.0442,                 1.5105,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.5045,                0.83581,                 1.1316,                 0.7385,                0.86792,                 0.8215,                0.42108,                 1.7255,                 1.1071,                 1.5349,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.4103,                0.84702,                 1.1452,                0.74508,                0.77358,                0.80828,                0.40514,                 1.7563,                 1.0728,                 1.5686,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.4291,                0.82883,                 1.1578,                0.72465,                0.84419,                0.84852,                0.39514,                 1.7368,                 1.0872,                 1.5322,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.3658,                  1.025,                 1.1913,                0.84315,                0.77358,                0.84094,                0.42855,                 1.7564,                 1.0369,                 1.5047,               0.001406,               0.001406,               0.001406
                     32,                 1.3307,                0.77733,                 1.1134,                0.95118,                0.73517,                0.83616,                0.43924,                 1.7484,                 1.0553,                 1.5009,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.4368,                0.82256,                 1.1634,                 0.8607,                0.75472,                0.84544,                0.42581,                 1.7552,                 1.0881,                  1.517,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.4577,                0.81255,                 1.2226,                0.80352,                0.73585,                0.80856,                0.37455,                 1.8588,                 1.1239,                 1.6021,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3486,                0.78212,                 1.1409,                0.80923,                0.72039,                0.82293,                0.40903,                 1.7505,                 1.0508,                 1.5545,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3951,                0.83561,                   1.18,                0.81978,                0.77246,                0.85849,                0.40543,                 1.7468,                0.96447,                 1.5842,               0.001307,               0.001307,               0.001307
                     37,                 1.4589,                0.80562,                  1.164,                 0.8632,                0.81132,                0.89665,                0.43559,                 1.7155,                 1.0265,                 1.5129,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2816,                0.76925,                 1.1127,                0.80976,                0.83019,                0.85338,                0.45396,                 1.6757,                 1.0104,                 1.4614,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3854,                0.80902,                  1.085,                0.76558,                0.81132,                0.83658,                0.38776,                 1.8573,                 1.0655,                 1.5298,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3444,                0.76359,                 1.0663,                0.68947,                0.79602,                0.80525,                0.36823,                 1.8353,                 1.1096,                 1.5416,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3902,                0.75248,                 1.0846,                0.80422,                0.71698,                0.82087,                0.38657,                 1.8683,                  1.022,                 1.5706,               0.001208,               0.001208,               0.001208
                     42,                 1.3881,                0.71973,                 1.1424,                0.97297,                0.67917,                0.82913,                0.34054,                  2.101,                 1.0173,                  1.712,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.4086,                0.77907,                  1.093,                0.80212,                0.73585,                0.85716,                 0.3898,                 1.8173,                0.95881,                 1.5449,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2754,                0.73031,                 1.0374,                0.76124,                0.78211,                0.84304,                0.39188,                 1.8201,                 1.0181,                 1.5604,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2128,                0.71988,                 1.0524,                0.85911,                0.69042,                0.85742,                0.34093,                   1.97,                 1.0212,                 1.6707,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1736,                0.66532,                 1.0215,                0.81591,                0.75265,                0.84519,                0.35978,                 2.0142,                0.97808,                 1.6948,               0.001109,               0.001109,               0.001109
                     47,                 1.1436,                0.70473,                 1.0643,                0.76837,                0.88679,                0.85838,                0.38033,                 1.8416,                0.95572,                 1.6514,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2901,                0.73554,                 1.0431,                 0.7788,                0.86792,                0.85749,                0.39983,                 1.7997,                0.99422,                 1.6279,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1777,                0.70225,                 1.0124,                0.82487,                0.77358,                0.83731,                0.36623,                 1.8925,                   1.02,                 1.6866,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2495,                0.66286,                 1.0749,                0.84801,                0.77358,                0.82281,                 0.3864,                 1.8711,                 1.0262,                 1.6194,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2101,                0.67813,                 1.0595,                0.88309,                0.71269,                 0.8155,                0.42259,                 1.7397,                 1.0933,                 1.5379,                0.00101,                0.00101,                0.00101
                     52,                 1.2021,                0.63709,                 1.0283,                0.92679,                0.69811,                0.82337,                0.39359,                 1.8141,                 1.0904,                 1.5972,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2034,                0.66038,                 1.0606,                0.90664,                0.73299,                0.83299,                 0.3937,                 1.8174,                 1.1118,                 1.6097,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1836,                0.64261,                 1.0295,                0.81829,                0.79245,                0.85498,                0.43102,                 1.7495,                 1.1177,                 1.5752,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1062,                0.62947,                  1.044,                0.82446,                0.79762,                0.85226,                0.43122,                 1.7624,                 1.0211,                  1.546,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1597,                0.59157,                 1.0069,                0.76493,                0.79824,                0.84668,                0.41304,                 1.8363,                 1.0432,                 1.5685,               0.000911,               0.000911,               0.000911
                     57,                 1.1402,                0.62486,                 1.0032,                0.77949,                0.80047,                0.85963,                0.43894,                 1.7708,                 1.0659,                  1.543,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0942,                0.62091,                 1.0104,                0.79311,                0.77358,                0.85797,                0.43542,                  1.754,                 1.0665,                 1.5406,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1158,                0.61072,                0.98976,                0.81528,                0.74956,                 0.8383,                0.42581,                 1.8013,                 1.1088,                 1.5957,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1812,                0.59614,                  1.005,                0.86009,                0.71698,                0.83998,                0.43051,                 1.7831,                 1.1013,                 1.5719,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0665,                 0.6028,                 1.0028,                0.77675,                0.78785,                0.85259,                0.43704,                 1.7469,                 1.0115,                 1.5531,               0.000812,               0.000812,               0.000812
                     62,                 1.0896,                0.56571,                0.98748,                0.77027,                0.79245,                 0.8586,                0.43061,                 1.7602,                 1.0202,                 1.5715,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0496,                0.57276,                 1.0071,                0.76211,                0.84627,                0.85079,                0.43579,                 1.8156,                 1.0095,                 1.6328,              0.0007724,              0.0007724,              0.0007724
                     64,                0.95903,                0.56238,                0.98914,                0.80717,                0.79245,                0.84346,                0.42943,                 1.7963,                 1.0111,                 1.6328,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0747,                  0.572,                0.97905,                0.85033,                0.75472,                0.85141,                0.43188,                 1.7071,                0.95153,                  1.574,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0151,                0.53251,                 0.9406,                0.82843,                0.75472,                0.83293,                0.43636,                 1.6882,                0.98003,                 1.5307,               0.000713,               0.000713,               0.000713
                     67,                0.90121,                0.52365,                0.92012,                0.81594,                0.77358,                0.84656,                0.44375,                 1.7063,                0.99567,                 1.5188,              0.0006932,              0.0006932,              0.0006932
                     68,                0.93198,                0.54093,                0.96166,                0.85092,                0.77358,                0.84793,                0.42966,                 1.6834,                 1.0039,                 1.5154,              0.0006734,              0.0006734,              0.0006734
                     69,                0.94032,                0.52505,                0.94809,                0.85413,                0.79245,                0.84985,                   0.42,                 1.7188,                0.99125,                  1.566,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0369,                0.57112,                 1.0018,                0.85747,                0.81132,                 0.8514,                0.43068,                  1.737,                0.98922,                 1.5853,              0.0006338,              0.0006338,              0.0006338
                     71,                0.91012,                0.51995,                0.94684,                0.87672,                0.80521,                0.86095,                0.44462,                 1.7242,                 1.0055,                  1.606,               0.000614,               0.000614,               0.000614
                     72,                 1.0085,                0.53837,                0.95573,                0.86086,                0.79245,                0.86069,                  0.446,                 1.7141,                0.99318,                 1.5962,              0.0005942,              0.0005942,              0.0005942
                     73,                0.92199,                0.50027,                0.93687,                0.83525,                0.81132,                0.85299,                 0.4289,                 1.7411,                0.96814,                 1.5682,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0068,                0.51602,                0.96049,                0.86443,                0.81132,                0.84875,                0.43733,                 1.7243,                 0.9571,                 1.5435,              0.0005546,              0.0005546,              0.0005546
                     75,                0.92058,                0.51148,                0.93538,                0.75323,                0.83019,                0.81691,                0.43564,                 1.6842,                0.95449,                 1.5161,              0.0005348,              0.0005348,              0.0005348
                     76,                0.85167,                0.46911,                0.93292,                0.77735,                0.81132,                0.80609,                0.42347,                  1.684,                0.95077,                 1.5173,               0.000515,               0.000515,               0.000515
                     77,                0.91935,                0.55917,                0.96105,                0.79358,                0.81132,                0.81293,                0.41904,                 1.7157,                 1.0169,                 1.5602,              0.0004952,              0.0004952,              0.0004952
                     78,                 0.8551,                0.47208,                0.91488,                 0.7946,                0.81132,                0.81368,                0.42727,                 1.6984,                 1.0294,                 1.5662,              0.0004754,              0.0004754,              0.0004754
                     79,                0.85412,                0.50576,                0.91044,                0.79244,                0.81132,                0.80955,                0.44063,                 1.6762,                  1.066,                  1.565,              0.0004556,              0.0004556,              0.0004556
                     80,                0.85367,                 0.4627,                0.91421,                0.81776,                0.84669,                0.82908,                0.43752,                 1.6998,                 1.0588,                 1.5716,              0.0004358,              0.0004358,              0.0004358
                     81,                0.90603,                0.49935,                0.89238,                0.77521,                0.83019,                0.80828,                0.43113,                  1.743,                 1.0075,                 1.5861,               0.000416,               0.000416,               0.000416
                     82,                0.96143,                0.52359,                0.95848,                 0.7965,                0.84906,                0.82837,                0.43054,                 1.7231,                 1.0122,                  1.571,              0.0003962,              0.0003962,              0.0003962
                     83,                0.86872,                0.48811,                0.94068,                0.78464,                0.83019,                0.82269,                0.43203,                 1.6624,                 1.0079,                 1.5369,              0.0003764,              0.0003764,              0.0003764
                     84,                0.92523,                0.49185,                 0.9518,                0.78435,                0.82359,                0.82413,                0.43329,                 1.6563,                 0.9762,                 1.5344,              0.0003566,              0.0003566,              0.0003566
                     85,                0.79315,                0.46391,                0.90033,                0.76773,                0.83019,                0.83689,                0.42171,                 1.6844,                0.96513,                 1.5549,              0.0003368,              0.0003368,              0.0003368
                     86,                0.82031,                0.48434,                0.90937,                0.75324,                0.84906,                0.83244,                0.41738,                 1.7265,                0.99142,                 1.5796,               0.000317,               0.000317,               0.000317
                     87,                0.87082,                0.48742,                0.92523,                0.73712,                0.84906,                0.83685,                0.42422,                 1.7373,                 1.0019,                 1.5789,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.8429,                0.48827,                0.91208,                0.74023,                0.86033,                0.83318,                0.43912,                 1.7095,                 0.9957,                 1.5597,              0.0002774,              0.0002774,              0.0002774
